category,city,country_region,customer_id,customer_name,order_date,order_id,postal_code,product_id,product_name,region,row_id,segment,ship_date,ship_mode,ship_status,state,sub_category,days_to_ship_actual,days_to_ship_scheduled,discount,profit,quantity,sales,sales_forecast
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,32,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Art,4,6,0.2,10,6,86,89
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,33,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.7,-6,6,7,7
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,OFF-AR-10001683,Lumber Crayons,East,34,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Art,4,6,0.2,4,2,16,16
Office Supplies,Houston,United States,MA-17560,Matt Abelman,2021-10-19,CA-2021-107727,77095,OFF-PA-10000249,Easy-staple paper,Central,35,Home Office,2021-10-23,Second Class,Shipped Late,Texas,Paper,4,3,0.2,10,3,29,31
Technology,Richardson,United States,GH-14485,Gene Hale,2020-12-08,CA-2020-117590,75080,TEC-PH-10004977,GE 30524EE4,Central,36,Corporate,2020-12-10,First Class,Shipped Late,Texas,Phones,2,1,0.2,123,7,1098,1136
Furniture,Richardson,United States,GH-14485,Gene Hale,2020-12-08,CA-2020-117590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,37,Corporate,2020-12-10,First Class,Shipped Late,Texas,Furnishings,2,1,0.6,-148,5,191,198
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,2019-12-27,CA-2019-117415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,38,Home Office,2019-12-31,Standard Class,Shipped Early,Texas,Envelopes,4,6,0.2,35,9,113,117
Furniture,Houston,United States,SN-20710,Steve Nguyen,2019-12-27,CA-2019-117415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,39,Home Office,2019-12-31,Standard Class,Shipped Early,Texas,Bookcases,4,6,0.32,-47,3,532,551
Furniture,Houston,United States,SN-20710,Steve Nguyen,2019-12-27,CA-2019-117415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Central,40,Home Office,2019-12-31,Standard Class,Shipped Early,Texas,Chairs,4,6,0.3,-15,3,212,219
Technology,Houston,United States,SN-20710,Steve Nguyen,2019-12-27,CA-2019-117415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Central,41,Home Office,2019-12-31,Standard Class,Shipped Early,Texas,Phones,4,6,0.2,42,4,371,384
Technology,Naperville,United States,LC-16930,Linda Cazamias,2021-09-10,CA-2021-120999,60540,TEC-PH-10004093,Panasonic Kx-TS550,Central,42,Corporate,2021-09-15,Standard Class,Shipped Early,Illinois,Phones,5,6,0.2,17,4,147,152
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,2020-07-17,CA-2020-101343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",West,43,Corporate,2020-07-22,Standard Class,Shipped Early,California,Storage,5,6,0,4,2,78,81
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,2021-09-19,CA-2021-139619,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,44,Corporate,2021-09-23,Standard Class,Shipped Early,Florida,Storage,4,6,0.2,10,2,96,99
Technology,Eagan,United States,ON-18715,Odella Nelson,2020-03-11,CA-2020-118255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,45,Corporate,2020-03-13,First Class,Shipped Late,Minnesota,Accessories,2,1,0,20,2,46,48
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,2020-03-11,CA-2020-118255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,46,Corporate,2020-03-13,First Class,Shipped Late,Minnesota,Binders,2,1,0,8,2,17,18
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,2018-10-20,CA-2018-146703,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,47,Consumer,2018-10-25,Second Class,Shipped Late,Michigan,Storage,5,3,0,8,4,212,219
Technology,Dover,United States,LH-16900,Lena Hernandez,2020-06-20,CA-2020-169194,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,48,Consumer,2020-06-25,Standard Class,Shipped Early,Delaware,Accessories,5,6,0,5,3,45,47
Technology,Dover,United States,LH-16900,Lena Hernandez,2020-06-20,CA-2020-169194,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,49,Consumer,2020-06-25,Standard Class,Shipped Early,Delaware,Phones,5,6,0,6,2,22,23
Office Supplies,New Albany,United States,DP-13000,Darren Powers,2019-04-18,CA-2019-115742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,50,Consumer,2019-04-22,Standard Class,Shipped Early,Indiana,Binders,4,6,0,18,6,38,40
Office Supplies,New Albany,United States,DP-13000,Darren Powers,2019-04-18,CA-2019-115742,47150,OFF-LA-10002762,Avery 485,Central,51,Consumer,2019-04-22,Standard Class,Shipped Early,Indiana,Labels,4,6,0,35,6,75,78
Furniture,New Albany,United States,DP-13000,Darren Powers,2019-04-18,CA-2019-115742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,Central,52,Consumer,2019-04-22,Standard Class,Shipped Early,Indiana,Furnishings,4,6,0,3,2,6,6
Furniture,New Albany,United States,DP-13000,Darren Powers,2019-04-18,CA-2019-115742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",Central,53,Consumer,2019-04-22,Standard Class,Shipped Early,Indiana,Chairs,4,6,0,17,1,90,93
Office Supplies,New York City,United States,JM-15265,Janet Molinari,2020-12-11,CA-2020-105816,10024,OFF-FA-10000304,Advantus Push Pins,East,54,Corporate,2020-12-17,Standard Class,Shipped On Time,New York,Fasteners,6,6,0,6,7,15,16
Technology,New York City,United States,JM-15265,Janet Molinari,2020-12-11,CA-2020-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,55,Corporate,2020-12-17,Standard Class,Shipped On Time,New York,Phones,6,6,0,299,5,1030,1066
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,56,Consumer,2020-06-18,First Class,Shipped On Time,New York,Storage,1,1,0,52,6,209,216
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,OFF-PA-10001569,Xerox 232,East,57,Consumer,2020-06-18,First Class,Shipped On Time,New York,Paper,1,1,0,16,5,32,34
Furniture,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,58,Consumer,2020-06-18,First Class,Shipped On Time,New York,Chairs,1,1,0.1,7,5,319,331
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,59,Consumer,2020-06-18,First Class,Shipped On Time,New York,Paper,1,1,0,7,2,15,15
Technology,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,60,Consumer,2020-06-18,First Class,Shipped On Time,New York,Accessories,1,1,0,3,2,30,31
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,OFF-BI-10001460,Plastic Binding Combs,East,61,Consumer,2020-06-18,First Class,Shipped On Time,New York,Binders,1,1,0.2,16,4,48,50
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,2020-06-17,CA-2020-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,62,Consumer,2020-06-18,First Class,Shipped On Time,New York,Art,1,1,0,1,1,2,2
Technology,Los Angeles,United States,KM-16720,Kunst Miller,2019-11-24,CA-2019-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,63,Consumer,2019-11-30,Standard Class,Shipped On Time,California,Accessories,6,6,0,6,2,14,14
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,2019-11-24,CA-2019-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,64,Consumer,2019-11-30,Standard Class,Shipped On Time,California,Binders,6,6,0.2,9,6,26,27
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,2019-11-24,CA-2019-135545,90004,OFF-PA-10003892,Xerox 1943,West,65,Consumer,2019-11-30,Standard Class,Shipped On Time,California,Paper,6,6,0,69,3,147,152
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,2019-11-24,CA-2019-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,66,Consumer,2019-11-30,Standard Class,Shipped On Time,California,Furnishings,6,6,0,22,4,80,83
Furniture,Chicago,United States,PS-18970,Paul Stevenson,2019-04-30,US-2019-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,67,Home Office,2019-05-05,Standard Class,Shipped Early,Illinois,Chairs,5,6,0.3,-15,5,213,221
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,2018-12-05,CA-2018-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,68,Corporate,2018-12-10,Standard Class,Shipped Early,Arizona,Art,5,6,0.2,111,8,1113,1152
Technology,Gilbert,United States,BS-11590,Brendan Sweed,2018-12-05,CA-2018-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,69,Corporate,2018-12-10,Standard Class,Shipped Early,Arizona,Phones,5,6,0.2,63,4,168,174
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,2020-06-04,CA-2020-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,70,Consumer,2020-06-06,First Class,Shipped Late,Virginia,Paper,2,1,0,36,2,76,79
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,2020-09-18,CA-2020-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,71,Consumer,2020-09-23,Standard Class,Shipped Early,New York,Binders,5,6,0.2,2,1,5,5
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,2021-09-14,CA-2021-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,72,Consumer,2021-09-17,Second Class,Shipped On Time,Michigan,Paper,3,3,0,9,3,19,20
Furniture,Memphis,United States,JE-15745,Joel Eaton,2019-04-26,US-2019-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,73,Consumer,2019-05-02,Standard Class,Shipped On Time,Tennessee,Chairs,6,6,0.2,-114,8,832,861
Furniture,Memphis,United States,JE-15745,Joel Eaton,2019-04-26,US-2019-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,74,Consumer,2019-05-02,Standard Class,Shipped On Time,Tennessee,Furnishings,6,6,0.2,1,2,97,100
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,2019-04-26,US-2019-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,75,Consumer,2019-05-02,Standard Class,Shipped On Time,Tennessee,Storage,6,6,0.2,-18,1,73,75
Office Supplies,Houston,United States,KB-16600,Ken Brennan,2021-12-09,US-2021-118038,77041,OFF-BI-10004182,Economy Binders,Central,76,Corporate,2021-12-11,First Class,Shipped Late,Texas,Binders,2,1,0.8,-2,3,1,1
Furniture,Houston,United States,KB-16600,Ken Brennan,2021-12-09,US-2021-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,77,Corporate,2021-12-11,First Class,Shipped Late,Texas,Furnishings,2,1,0.6,-6,3,10,10
Office Supplies,Houston,United States,KB-16600,Ken Brennan,2021-12-09,US-2021-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,78,Corporate,2021-12-11,First Class,Shipped Late,Texas,Storage,2,1,0.2,3,3,27,28
Furniture,Houston,United States,JE-15745,Joel Eaton,2018-11-26,US-2018-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,79,Consumer,2018-12-01,Second Class,Shipped Late,Texas,Furnishings,5,3,0.6,-14,5,19,20
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,2020-06-12,CA-2020-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,80,Corporate,2020-06-15,First Class,Shipped Late,Alabama,Appliances,3,1,0,56,1,208,215
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,2020-06-12,CA-2020-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,81,Corporate,2020-06-15,First Class,Shipped Late,Alabama,Binders,3,1,0,8,3,17,17
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,2018-10-12,CA-2018-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,Consumer,2018-10-16,Standard Class,Shipped Early,California,Art,4,6,0,4,5,15,15
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,2018-10-12,CA-2018-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,Consumer,2018-10-16,Standard Class,Shipped Early,California,Storage,4,6,0,6,1,21,22
Office Supplies,Durham,United States,JC-16105,Julie Creighton,2019-09-03,CA-2019-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,84,Corporate,2019-09-08,Standard Class,Shipped Early,North Carolina,Envelopes,5,6,0.2,63,7,201,208
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,2021-11-13,US-2021-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,85,Home Office,2021-11-16,First Class,Shipped Late,Illinois,Storage,3,1,0.2,-49,3,230,238
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,2021-05-28,CA-2021-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,86,Consumer,2021-05-30,Second Class,Shipped Early,South Carolina,Chairs,2,3,0,33,2,302,313
Technology,Rochester,United States,PG-18895,Paul Gonzalez,2021-10-26,CA-2021-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,87,Consumer,2021-11-02,Standard Class,Shipped Late,Minnesota,Accessories,7,6,0,7,1,20,21
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,2021-10-26,CA-2021-155558,55901,OFF-LA-10000134,Avery 511,Central,88,Consumer,2021-11-02,Standard Class,Shipped Late,Minnesota,Labels,7,6,0,3,2,6,6
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,2020-04-05,CA-2020-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,89,Home Office,2020-04-10,Second Class,Shipped Late,Texas,Storage,5,3,0.2,14,7,158,164
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,2020-09-17,CA-2020-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,90,Corporate,2020-09-22,Standard Class,Shipped Early,California,Art,5,6,0,7,3,20,21
Technology,Los Angeles,United States,JS-15685,Jim Sink,2020-09-17,CA-2020-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,91,Corporate,2020-09-22,Standard Class,Shipped Early,California,Phones,5,6,0.2,8,2,74,76
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,2020-09-17,CA-2020-109806,90036,OFF-PA-10000304,Xerox 1995,West,92,Corporate,2020-09-22,Standard Class,Shipped Early,California,Paper,5,6,0,3,1,6,7
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,2019-01-31,CA-2019-149587,55407,OFF-PA-10003177,Xerox 1999,Central,93,Consumer,2019-02-05,Second Class,Shipped Late,Minnesota,Paper,5,3,0,6,2,13,13
Furniture,Minneapolis,United States,KB-16315,Karl Braun,2019-01-31,CA-2019-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,94,Consumer,2019-02-05,Second Class,Shipped Late,Minnesota,Furnishings,5,3,0,17,3,53,55
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,2019-01-31,CA-2019-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,95,Consumer,2019-02-05,Second Class,Shipped Late,Minnesota,Binders,5,3,0,16,2,33,34
Office Supplies,Portland,United States,RB-19705,Roger Barcio,2021-11-06,US-2021-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,96,Home Office,2021-11-12,Standard Class,Shipped On Time,Oregon,Binders,6,6,0.7,-4,1,6,6
Furniture,New York City,United States,PN-18775,Parhena Norris,2021-11-09,CA-2021-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,97,Home Office,2021-11-11,Second Class,Shipped Early,New York,Furnishings,2,3,0,41,7,97,100
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,2021-06-17,CA-2021-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,98,Consumer,2021-06-20,First Class,Shipped Late,California,Binders,3,1,0.2,18,3,51,53
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,2020-09-06,CA-2020-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Central,99,Corporate,2020-09-11,Standard Class,Shipped Early,Minnesota,Appliances,5,6,0,23,6,78,81
Office Supplies,Chicago,United States,RB-19465,Rick Bensley,2020-08-29,CA-2020-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Central,100,Home Office,2020-09-02,Standard Class,Shipped Early,Illinois,Paper,4,6,0.2,23,7,65,67
Technology,Chicago,United States,RB-19465,Rick Bensley,2020-08-29,CA-2020-158568,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,101,Home Office,2020-09-02,Standard Class,Shipped Early,Illinois,Accessories,4,6,0.2,-11,3,96,99
